Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2004-11-18,44.49,44.38,44.07,44.43,,5992000
2004-11-19,44.92,44.78,44.47,44.49,,11655300
2004-11-22,44.97,44.95,44.74,44.75,,11996000
2004-11-23,44.92,44.75,44.72,44.88,,3169200
2004-11-24,45.05,45.05,44.79,44.93,,6105100
2004-11-26,45.6,45.29,45.06,45.25,,3097700
2004-11-29,45.5,45.4,45.08,45.1,,3759000
2004-11-30,45.41,45.12,44.82,45.37,,3857200
2004-12-01,45.59,45.38,45.26,45.28,,2037500
2004-12-02,45.57,44.95,44.68,45.55,,6457800
2004-12-03,46.0,45.6,44.8,45.04,,4218300
2004-12-06,45.47,45.17,45.11,45.39,,3102400
2004-12-07,45.32,45.11,45.07,45.3,,3797300
2004-12-08,44.02,44.01,43.36,43.8,,6148600
2004-12-09,43.9,43.78,43.2,43.75,,3553400
2004-12-10,43.6,43.44,43.31,43.37,,2464300
2004-12-13,44.014,43.91,43.51,43.61,,1445100
2004-12-14,43.8,43.55,43.51,43.76,,2240600
2004-12-15,44.17,43.99,43.92,44.1,,2641400
2004-12-16,44.05,43.68,43.58,43.99,,3269800
2004-12-17,44.22,44.19,43.78,43.93,,1889300
2004-12-20,44.37,44.34,44.13,44.33,,1942100
2004-12-21,44.24,44.22,44.05,44.13,,1373400
2004-12-22,44.23,44.02,43.89,44.2,,2705800
2004-12-23,44.35,44.27,44.05,44.17,,639800
2004-12-27,44.56,44.48,44.27,44.29,,2643500
2004-12-28,44.47,44.37,44.29,44.42,,773200
2004-12-29,44.02,43.66,43.35,43.92,,5632200
2004-12-30,43.88,43.83,43.49,43.5,,1289600
2004-12-31,43.94,43.8,43.73,43.85,,531600
2005-01-03,43.17,43.02,42.74,42.98,,4750400
2005-01-04,42.91,42.74,42.46,42.8,,3456800
2005-01-05,42.88,42.67,42.6,42.75,,2033600
2005-01-06,42.56,42.15,42.07,42.48,,2556400
2005-01-07,42.39,41.84,41.7,42.09,,4492700
2005-01-10,42.07,41.95,41.89,41.99,,1025800
